0,2,13
0,3,11
0,4,9
0,5,7
0,6,5
0,6,13
0,7,3
0,7,11
0,7,12
0,7,13
0,8,11
0,8,12
0,8,13
1,2,0
1,2,4
1,2,8
1,3,16
1,5,12
1,6,3
1,6,4
1,6,5
1,6,11
1,6,12
1,7,8
1,7,9
1,7,10
1,7,11
1,7,12
1,8,7
1,8,8
1,8,9
1,8,10
1,8,11
1,8,12
2,3,6
2,3,7
2,3,8
2,3,9
2,4,9
2,4,10
2,5,0
2,5,1
2,5,2
2,5,3
2,5,9
2,5,10
2,5,11
2,6,9
2,6,10
2,6,11
2,6,12
2,7,5
2,7,6
2,7,7
2,7,8
2,7,9
2,7,10
2,7,11
2,7,12
2,7,13
2,8,4
2,8,5
2,8,6
2,8,7
2,8,8
2,8,9
2,8,10
2,8,11
2,8,12
2,8,13
2,8,14
3,5,4
3,5,12
3,6,3
3,6,4
3,6,5
3,6,11
3,6,12
3,6,13
3,7,2
3,7,3
3,7,4
3,7,5
3,7,6
3,7,10
3,7,11
3,7,12
3,7,13
3,7,14
3,8,1
3,8,2
3,8,3
3,8,4
3,8,5
3,8,6
3,8,7
3,8,9
3,8,10
3,8,11
3,8,12
3,8,13
3,8,14
3,8,15
